Date,PX_LAST
6/29/2018,391.43
6/28/2018,395.42
6/27/2018,390.39
6/26/2018,399.39
6/25/2018,384.48
6/22/2018,411.09
6/21/2018,415.44
6/20/2018,416.76
6/19/2018,404.98
6/18/2018,390.4
6/15/2018,391.98
6/14/2018,392.87
6/13/2018,379.93
6/12/2018,363.83
6/11/2018,361.45
6/8/2018,360.57
6/7/2018,361.4
6/6/2018,367.45
6/5/2018,365.8
6/4/2018,361.81
6/1/2018,359.93
5/31/2018,351.6
5/30/2018,353.54
5/29/2018,349.73
5/25/2018,351.29
5/24/2018,349.29
5/23/2018,344.72
5/22/2018,331.62
5/21/2018,331.82
5/18/2018,324.18
5/17/2018,325.22
5/16/2018,328.19
5/15/2018,326.13
5/14/2018,328.53
5/11/2018,326.46
5/10/2018,329.6
5/9/2018,330.3
5/8/2018,326.89
5/7/2018,326.26
5/4/2018,320.09
5/3/2018,311.69
5/2/2018,313.36
5/1/2018,313.3
4/30/2018,312.46
4/27/2018,311.76
4/26/2018,313.98
4/25/2018,305.76
4/24/2018,307.02
4/23/2018,318.69
4/20/2018,327.77
4/19/2018,332.7
4/18/2018,334.52
4/17/2018,336.06
4/16/2018,307.78
4/13/2018,311.65
4/12/2018,309.25
4/11/2018,303.67
4/10/2018,298.07
4/9/2018,289.93
4/6/2018,288.85
4/5/2018,293.97
4/4/2018,288.94
4/3/2018,283.67
4/2/2018,280.29
3/29/2018,295.35
3/28/2018,285.77
3/27/2018,300.69
3/26/2018,320.35
3/23/2018,300.94
3/22/2018,306.7
3/21/2018,316.48
3/20/2018,317.5
3/19/2018,313.48
3/16/2018,318.45
3/15/2018,321.09
3/14/2018,321.55
3/13/2018,315.88
3/12/2018,321.3
3/9/2018,331.44
3/8/2018,317
3/7/2018,321.16
3/6/2018,325.22
3/5/2018,315
3/2/2018,301.05
3/1/2018,290.39
2/28/2018,291.38
2/27/2018,290.61
2/26/2018,294.16
2/23/2018,285.93
2/22/2018,278.14
2/21/2018,281.04
2/20/2018,278.55
2/16/2018,278.52
2/15/2018,280.27
